#{"t_start": 1769648290.8438687, "env_id": "None"}
r,l,t
-342.928561,250,5.376299
-343.253445,250,7.866988
-342.486783,250,10.080303
-344.2,250,12.384564
4.391787,40,12.851464
-343.8,250,15.449817
-211.639007,202,17.44064
-343.95,250,19.750282
-288.883531,235,21.715966
-341.537352,250,33.281951
-97.507859,144,34.811525
-341.489963,250,37.427709
-342.412635,250,39.421378
-342.408454,250,41.570053
-73.601999,128,42.855588
-202.005645,198,44.781476
2.844364,43,45.222348
-339.613696,250,47.264125
-20.010718,80,47.90696
-299.704762,239,49.951197
-208.148743,201,52.716095
-12.312144,69,53.382017
8.783196,24,53.660096
-340.825662,250,56.17644
-341.689272,250,58.809234
-316.583022,245,61.090188
3.997377,39,61.45203
-339.924954,250,63.363065
-339.6522,250,65.556435
-341.85,250,67.725204
-129.053934,162,69.284334
-54.471585,112,72.568688
-340.89877,250,74.742143
-151.410018,174,76.150531
-49.366136,108,77.408359
-3.139538,54,78.039503
-83.283779,134,79.623628
6.61436,31,80.010898
-39.171275,99,81.141182
-82.122375,133,82.860072
-339.998119,250,85.29612
-338.469477,250,87.568471
-340.909074,250,89.463893
-8.029721,63,89.990103
-339.711785,250,93.070652
20.380761,9,93.160594
-193.814411,195,94.753898
-45.542738,105,95.787783
10.284095,11,95.936441
-283.228212,233,98.16187
-285.660948,234,100.218961
10.092909,13,100.411555
9.025863,24,100.656965
3.491232,42,101.094421
-116.635177,155,102.832025
-339.008042,250,105.6067
-337.510022,250,108.156818
8.942148,23,108.421263
-156.974586,178,110.082764
-109.827876,151,111.556321
-338.155841,250,119.562408
9.87182,16,119.702188
4.995436,36,120.039432
-338.554163,250,122.074336
-26.461685,87,122.88549
10.205944,17,123.063051
-339.626023,250,125.751145
-255.863676,222,128.467993
10.191287,12,128.694674
-339.738867,250,131.613757
-7.252338,62,132.2906
-338.033611,250,134.540022
-339.558569,250,136.825145
-19.211522,78,137.532117
-63.423668,120,138.660816
-151.909903,180,145.520303
9.68883,18,145.672041
-337.207513,250,147.672893
-339.314535,250,149.530925
-340.144848,250,152.324361
-43.526624,104,153.731719
-338.032929,250,157.113631
9.418536,21,157.43323
-25.921384,86,158.541289
10.026368,16,158.743934
-338.432113,250,161.003084
10.39019,7,161.117403
7.301901,29,161.429919
-275.002125,230,163.569997
-339.798446,250,171.590859
-22.476373,82,172.338654
-16.148807,74,172.8616
9.296437,20,173.020687
-339.639331,250,174.841358
-43.521907,103,175.650611
-118.019366,156,176.931949
9.033451,23,177.124141
-13.188089,70,177.849931
-19.479116,78,178.770463
-254.063861,221,181.431986
-338.574449,250,184.249847
-340.694483,250,186.53273
-154.633085,176,188.191299
-80.2512,132,189.427875
9.775513,18,189.660845
-339.70131,250,197.364619
2.656825,43,197.695056
-81.536856,133,198.789041
19.523343,20,199.009829
9.968997,16,199.195272
9.67661,19,199.359747
-19.849421,79,200.054853
-48.335801,107,200.824281
-16.961387,75,201.551533
-138.925284,168,203.158995
-338.780087,250,206.490564
-24.425632,84,207.629352
10.229093,11,207.813348
9.194832,21,208.127566
-35.262338,96,209.293341
-211.241542,203,211.294856
7.176485,29,211.623637
-40.913016,110,212.644007
-39.910862,100,213.637089
-339.539707,250,215.693815
-159.499911,179,223.013943
-9.638176,65,223.58761
-282.528797,233,225.322376
10.273905,10,225.46068
-107.470726,156,226.653197
-12.389491,71,227.27172
-6.171029,59,227.842026
10.113812,14,228.007083
-19.099698,78,228.905724
-337.350179,250,232.105324
-337.860436,250,235.432478
-22.731188,82,236.384678
10.225771,5,236.45866
4.071661,39,236.855463
3.619639,41,237.231414
-107.24148,150,238.44746
-5.158032,58,238.937354
-104.260136,148,240.018193
-17.17385,76,240.622335
10.002691,14,240.766886
16.682454,31,241.081307
-336.591629,250,248.688118
-337.864768,250,250.784142
4.859979,37,251.15398
-22.6858,82,251.808706
-98.576831,151,253.146103
-338.937706,250,255.9328
10.370466,7,256.067775
9.482456,20,256.361109
6.087505,35,256.862114
9.278155,19,257.144849
-6.599238,61,257.975692
10.090907,12,258.168817
-163.995819,181,260.594576
1.727707,45,261.200943
-23.753891,84,262.263139
-3.944191,56,262.798275
8.042081,27,263.097925
7.554397,28,263.425102
-21.437205,80,264.125007
-338.034046,250,266.145195
-338.387573,250,273.506661
9.613274,19,273.657728
-5.331765,59,274.129531
0.775414,47,274.525329
10.01745,15,274.686421
-31.0052,92,275.61526
9.766532,16,275.803403
-337.051602,250,278.169452
-32.061233,93,279.060426
1.827037,45,279.515817
-6.363052,61,280.162
6.414047,33,280.5231
2.290776,44,280.932774
-12.935517,70,281.658677
6.89223,32,282.018835
-5.999293,60,282.750324
9.562182,18,283.040836
-261.245466,224,285.980432
-2.126558,53,286.738214
9.923639,17,286.974513
0.031809,49,287.537301
-3.265478,55,288.146176
-336.982822,250,290.693582
-13.765027,71,291.337522
8.614419,24,291.583954
-67.633434,123,292.658228
-16.789247,76,293.430584
-19.433803,78,294.099835
-71.389209,126,300.911789
-51.178224,110,302.021382
8.81504,22,302.257054
-1.056023,51,302.734686
8.829926,23,303.109455
7.892878,27,303.41067
-337.361313,250,305.908925
-337.410815,250,308.268888
-7.397542,62,308.912278
4.176242,39,309.312249
-5.403285,59,309.852351
-336.333848,250,312.799685
6.924213,30,313.24089
2.70358,43,313.843965
-6.060069,75,314.871746
10.124363,12,315.068396
10.446251,9,315.231694
-37.963559,99,316.453246
8.319075,52,317.065211
9.911606,16,317.273008
-22.573144,82,318.237995
3.624682,41,318.647363
-2.263843,53,319.062962
9.040591,22,319.251323
5.167531,37,319.62581
-108.447985,151,320.793924
-16.82646,76,321.45706
9.113145,21,327.436928
8.2906,27,327.66477
4.538294,38,327.980688
6.552311,33,328.270276
-57.224464,116,329.331004
7.695744,28,329.670568
19.935996,16,329.88482
-67.299763,123,331.067368
0.767285,47,331.511939
-44.122858,104,332.297303
20.334393,9,332.397269
6.613368,55,332.956769
-9.589767,65,333.539669
-54.639849,114,334.476927
10.195425,12,334.603029
-337.628661,250,336.748219
-15.816062,74,337.429633
-338.007297,250,340.196006
-336.226558,250,342.969229
4.03281,39,343.359342
-6.208274,60,343.929605
6.399048,33,344.313568
9.008219,23,344.578019
-12.461878,70,345.108543
-76.422064,130,346.232655
6.945734,55,346.767485
8.938589,22,353.264152
9.562532,18,353.450354
7.306192,30,353.79829
-336.423561,250,356.159613
-5.148864,59,356.773742
-4.660156,58,357.184513
-8.021906,64,357.719914
1.235599,46,358.11955
-3.738818,57,358.59157
2.965582,42,358.905268
-5.440864,60,359.414224
10.225771,5,359.498074
19.093954,21,359.689282
-37.36771,98,360.488579
10.391412,8,360.610819
-120.869288,159,362.259699
1.119025,47,362.722661
