#{"t_start": 1772667803.6848936, "env_id": "None"}
r,l,t
-498.3,300,3.721817
-1282.019918,300,5.196969
2.683944,43,5.426062
-4023.45,300,6.844157
-497.040565,300,8.433708
-1577.85,300,9.986494
-1094.401827,221,11.14412
-3812.95,300,13.865676
7.756106,26,14.018388
-4861.372014,300,15.693717
10.286529,5,15.743484
-496.39718,300,17.247122
-6909.900014,300,18.737917
-320.752315,246,20.004223
-1457.572548,300,21.576155
18.565079,23,21.718693
-496.709196,300,23.266532
-56.083581,113,24.036122
6.043894,56,24.445487
-6391.486294,300,26.689007
8.380901,27,26.883879
-497.044508,300,28.533718
9.666116,15,28.643702
-1498.781311,164,29.516432
-14.372781,72,29.879822
-2982.717456,300,31.367111
-165.714446,181,32.336255
-542.361409,234,33.53496
-5581.021095,300,35.010305
-496.276615,300,36.818381
-134.814591,165,37.747696
-495.885989,300,39.751476
-495.539543,300,41.39114
-1635.817597,300,42.864087
-6060.25264,300,44.36954
-492.872672,300,45.939021
-495.715358,300,47.455342
-494.603368,300,49.161466
-495.308799,300,50.953121
-495.580502,300,52.995715
-495.110316,300,55.004429
-494.628262,300,56.480339
-494.751929,300,58.033799
-496.022559,300,60.296205
-498.538713,300,61.735502
-498.430613,300,63.393496
-498.557962,300,64.895223
-498.435905,300,66.726526
-497.852786,300,68.805529
-498.864483,300,70.414442
-496.921271,300,72.738612
-496.985398,300,74.208714
-496.459139,300,75.845128
-494.644149,300,77.408131
-496.629236,300,78.801112
-495.431144,300,80.382968
-495.152072,300,82.483298
-495.526129,300,85.586675
-494.264333,300,87.176476
-490.523664,300,88.671925
-494.972823,300,90.26906
-494.003586,300,91.749532
-493.896463,300,93.192244
-493.827717,300,94.6318
-493.157349,300,96.904551
-493.115257,300,98.991416
-492.87578,300,101.072804
-492.72605,300,102.893822
-489.881084,300,104.499209
-491.917309,300,106.096773
-492.632746,300,107.554274
-493.847778,300,109.585161
-494.838311,300,111.243794
-494.581641,300,112.678401
-490.741909,300,114.652628
-494.351815,300,116.131673
-494.120285,300,117.625289
-494.419937,300,123.259566
-2009.445465,300,124.767383
