#{"t_start": 1772045920.4381335, "env_id": "None"}
r,l,t
-343.563586,250,3.633849
-257.64043,222,4.81952
-343.55,250,4.143133
-159.892957,178,5.099471
-340.220164,250,6.246076
-122.37606,157,6.964515
-195.002275,195,8.062022
-121.096003,162,9.100678
-340.093397,250,10.715677
-343.7,250,15.817435
-344.6,250,17.119111
0.560097,46,17.343876
-209.356466,202,18.288975
-344.5,250,19.495424
-341.136338,250,20.738039
-267.649435,226,21.975811
-306.183712,240,23.499514
-5.997265,59,23.938814
-344.330966,250,25.675345
-344.172545,250,30.669026
-342.810639,250,31.77529
-343.338199,250,32.97222
-342.09406,250,34.086497
3.857185,39,34.306113
-146.075786,176,35.303896
8.844757,24,35.430339
6.752646,33,35.618241
-196.320443,195,34.71061
-58.894716,115,35.263443
-343.197273,250,36.641579
-342.637594,250,38.259399
-279.275168,230,43.231936
-343.65,250,44.495501
-342.558422,250,45.812227
-80.241437,132,46.481864
-10.735463,66,46.873505
-342.79121,250,48.35703
-20.731816,80,48.834999
-283.881416,232,50.021862
-50.618543,108,50.532654
-342.530316,250,52.149294
-342.417671,250,53.795251
-343.85,250,56.692894
-345.15,250,57.909059
-344.5,250,59.12759
-344.9,250,60.287977
-345.0,250,61.579811
-344.575053,250,62.842078
-344.45,250,64.024905
7.572117,27,64.172637
-344.6,250,65.759134
-345.1,250,65.873491
-344.55,250,67.342837
7.964388,27,67.512911
-344.7,250,68.84759
-344.8,250,70.056749
-344.9,250,71.286836
-344.6,250,72.422951
1.442651,44,72.690933
-343.772213,250,73.895638
-345.64783,250,75.056432
0.702055,45,75.300113
-345.155799,250,76.67104
-344.295669,250,77.948483
-345.1,250,79.714698
-344.539217,250,81.449162
9.708451,19,81.626605
-345.35,250,82.870315
10.383326,8,82.94867
-345.35,250,84.257794
-22.378738,81,84.796177
-345.1,250,86.216736
7.812115,27,86.4079
7.103677,28,86.613854
-345.1,250,92.092587
-0.72902,52,92.392498
1.22277,44,92.62818
5.176054,37,92.887502
13.989993,40,93.145497
-342.86145,250,94.649292
18.489676,23,94.835666
-344.9,250,94.819638
-0.87444,49,95.230141
-344.95,250,96.757079
-345.2,250,98.188381
-343.958803,250,99.639152
8.024982,25,99.813714
-344.599063,250,101.339128
-345.55,250,105.009265
-346.146608,250,106.481626
-345.5519,250,107.822847
-345.622284,250,109.551803
-346.05,250,111.454892
-346.1,250,113.30469
8.034519,25,113.452717
-345.8,250,114.925115
-345.5,250,116.450497
-345.7,250,118.462643
-345.010146,250,119.876276
-345.324952,250,121.309047
-345.45,250,122.742631
-345.65,250,124.281277
-345.429249,250,125.702347
-345.691509,250,125.767849
-346.05,250,127.836018
8.095312,26,128.006215
5.254523,34,128.199616
-345.85,250,130.558299
-346.35,250,132.042838
-345.17773,250,133.698622
9.068517,22,133.877576
-346.3,250,135.325342
10.349276,8,135.392527
-345.7,250,137.14135
10.063214,13,137.261245
-346.1,250,139.011168
-345.75,250,140.909301
7.3514,30,141.242505
-346.15,250,143.258873
-0.037775,48,143.825469
-345.249379,250,151.570658
-346.108601,250,153.372637
10.296896,11,153.470054
-346.5,250,155.148905
-346.4,250,156.691495
-345.9,250,156.410711
-346.15,250,157.995052
-346.336781,250,159.77861
5.962951,32,159.990977
8.340987,25,160.167632
-1.178725,53,160.541859
-345.899386,250,162.361604
7.860104,27,162.596537
10.252929,5,162.667759
-346.0,250,170.179029
5.931996,33,170.430975
-345.100659,250,172.281355
-346.15,250,173.933449
-346.35,250,175.497074
10.153209,13,175.634725
10.188777,10,175.755872
-346.35,250,177.426626
-346.05,250,179.160744
-346.370685,250,180.790524
-340.242611,250,182.555104
2.877391,42,185.627899
-345.304075,250,187.533926
-345.6,250,187.49523
-345.275436,250,189.240661
5.000205,36,189.586872
-345.497216,250,191.611351
-345.37023,250,193.407429
-345.75,250,195.006942
-345.9,250,197.016154
-345.4,250,199.31742
10.03955,15,199.442692
-346.65,250,201.007154
-346.5,250,202.967495
8.377564,25,203.215796
-346.5,250,205.22799
-346.35,250,207.027793
-346.6,250,208.775777
10.210034,10,208.901784
-346.3,250,210.514127
6.854443,29,210.729381
-346.4,250,212.319695
9.904443,13,212.427374
-0.665886,51,212.820441
10.030953,12,212.925269
-346.35,250,218.64799
-346.2,250,220.265224
-346.426972,250,222.301761
9.713477,16,222.478647
-346.65,250,225.0318
-346.25,250,226.81406
-346.85,250,228.365212
-346.6,250,230.010646
-346.25,250,231.556733
-346.7,250,239.342789
-341.068818,250,241.00534
-346.7,250,243.391033
-346.12536,250,245.869912
9.274317,20,246.049034
-346.6,250,247.913939
-346.45,250,247.716242
-346.2,250,249.259753
-346.413684,250,250.806974
-346.55,250,254.066833
-345.971915,250,256.133078
-346.85,250,257.990951
-346.391407,250,259.983309
-347.0,250,261.884288
9.170762,18,262.094478
-346.7,250,264.19024
-346.7,250,266.224395
7.588842,26,266.460851
-346.85,250,268.023327
-346.6,250,274.677952
19.390301,17,274.85537
-346.9,250,277.036951
-346.8,250,277.613914
10.382086,9,277.714053
-347.0,250,279.948454
-346.75,250,281.519921
-346.8,250,283.501787
-347.05,250,285.547141
-346.85,250,287.298838
-346.9,250,294.190575
-347.0,250,296.069286
4.862823,37,296.387724
3.891239,39,296.738878
-346.607492,250,298.498496
-346.8,250,300.003545
10.303932,9,300.107891
-347.05,250,301.67224
-346.95,250,303.661063
-347.05,250,305.614866
7.775845,25,305.839192
-346.85,250,307.429856
-24.861092,85,307.978707
5.174514,35,308.22913
-347.1,250,313.111877
7.818208,27,313.357513
-346.9,250,315.238867
-347.05,250,316.782169
-347.1,250,318.293781
-347.0,250,319.996876
-347.0,250,321.966462
18.214176,22,322.184203
8.923632,19,322.380642
-346.95,250,324.599003
-347.0,250,326.177486
-346.95,250,332.908434
-347.15,250,334.985334
-347.05,250,336.519682
16.948384,29,336.699743
-346.95,250,338.359216
-51.946519,116,339.113495
8.8139,21,339.316738
-347.05,250,339.879702
-347.05,250,342.624439
-346.95,250,344.598442
-346.9,250,351.438604
-0.944547,52,351.930149
13.455032,41,352.330084
9.678959,17,352.520611
3.461585,38,352.89337
10.022181,14,353.06927
2.844077,41,353.476452
-347.05,250,355.616166
7.709837,25,355.821977
-347.1,250,357.506443
-347.1,250,359.178497
-346.8,250,361.269786
-347.05,250,363.580228
-346.628504,250,365.448697
7.028394,29,365.639652
-346.95,250,370.055744
-347.0,250,371.997041
-346.9,250,373.627899
8.119731,26,373.846241
10.267775,7,373.925567
-347.1,250,375.44836
19.708262,18,375.57909
-4.198388,57,376.028167
-346.95,250,378.128999
9.89761,15,378.315318
-346.396737,250,380.824291
9.393416,19,381.054463
-346.588961,250,382.698715
-346.65,250,384.219446
-347.05,250,390.447762
0.821225,45,390.751819
-347.05,250,392.235989
-347.1,250,393.786854
-347.15,250,395.321883
10.283326,5,395.391906
-346.9,250,397.883646
-347.15,250,400.402937
8.692775,22,398.83548
10.069593,12,398.99418
-347.05,250,400.906653
-347.1,250,403.058104
-347.1,250,410.186512
18.547412,21,410.362905
-347.0,250,411.834869
-341.960397,250,413.367676
9.760304,13,413.509349
-346.85,250,415.140228
-347.0,250,417.624543
8.901161,22,417.877156
9.642908,16,418.074827
-347.05,250,420.524567
7.29309,27,420.778313
-346.95,250,422.271556
10.182143,7,422.361893
-346.95,250,429.822726
9.063733,21,429.986843
-347.05,250,429.707119
-346.9,250,431.182316
8.772905,21,431.341387
-346.85,250,432.904052
-347.05,250,434.741672
-347.0,250,437.190919
-347.1,250,439.54328
10.440816,8,439.635564
9.862166,16,439.809082
19.545423,20,440.016502
-347.15,250,441.874165
10.092935,11,441.9923
-347.05,250,448.996418
-346.954823,250,450.496275
-346.95,250,451.991328
-338.592422,250,453.560551
-346.85,250,455.470065
-346.748814,250,457.882062
8.893259,19,458.095555
-347.1,250,460.296782
-347.0,250,460.446793
-346.678321,250,467.596057
-346.9,250,469.117763
-346.8,250,470.640354
-346.9,250,472.21184
9.064434,19,472.355024
-346.9,250,474.191674
-1.473951,49,474.607525
-346.8,250,476.891749
9.980256,13,477.025244
5.598375,36,477.351753
-346.95,250,479.02631
-346.448013,250,480.927917
-347.0,250,487.940308
8.698898,23,488.114058
-347.1,250,489.638011
8.649298,23,489.795597
-347.0,250,491.242329
-346.643496,250,491.39437
10.171775,10,491.521845
-346.9,250,494.073701
-346.9,250,496.231713
-346.9,250,497.817865
0.540089,45,498.145139
-347.1,250,500.133413
-347.05,250,506.913324
-347.2,250,508.465298
-347.15,250,509.981942
-346.918273,250,511.637796
-347.15,250,514.096694
2.307786,41,514.530559
-347.1,250,516.893909
-347.1,250,518.528459
10.225771,5,518.584119
10.314239,6,518.648856
-347.1,250,520.495139
-338.229904,250,525.643149
-347.15,250,527.194599
-346.813685,250,528.734359
-346.95,250,530.340946
-347.1,250,532.751318
19.135546,17,532.945626
-347.05,250,535.467458
-346.585464,250,537.374305
-347.05,250,539.062515
7.49637,27,539.305497
-345.917973,250,546.575493
-347.15,250,548.13617
7.429091,27,548.342905
-346.855058,250,549.828369
-347.1,250,551.389975
10.064735,14,551.511971
6.974561,28,551.727692
-346.034158,250,552.378718
18.295178,26,552.685508
-347.1,250,555.15709
-341.808213,250,556.846814
-345.378774,250,558.626997
-347.05,250,565.710505
-347.05,250,567.322427
-346.95,250,568.809671
10.011667,15,568.946712
-347.05,250,570.488462
8.838315,19,570.647032
-347.05,250,572.842167
-11.233936,68,573.547608
20.058383,12,573.705514
-347.1,250,576.224753
10.383536,6,576.326685
19.890218,17,576.559497
-347.05,250,578.179406
-345.912159,250,583.90989
6.402304,32,584.12662
-341.236742,250,585.678691
-347.15,250,587.282916
8.65735,21,587.432663
-347.0,250,589.045657
-346.695182,250,590.797976
-347.05,250,593.309649
-346.114818,250,595.774833
-341.594674,250,597.307682
-346.84442,250,604.739376
-347.15,250,606.37243
8.907613,19,606.543685
-24.063343,84,607.067772
-347.05,250,608.595543
