=== LEVEL 1 ===


--- Summary Table: Level 1, Trained on Level 1 | Success Threshold >= -5 ---
| Configuration     |   Mean |   SD |   Min |   Max |   Success Rate (%) |
| Active (100% FOV) | -64.23 | 65.57 | -218.00 | 19.00 |              25.00 |

--- Summary Table: Level 3, Trained on Level 1 | Success Threshold >= 15 ---
| Configuration     |   Mean |    SD |     Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|--------:|------:|-------------------:|
| Baseline          | -63.76 | 48.37 | -138.00 | 19.00 |              18.00 |
| Active (1% FOV)   | -21.25 | 46.62 | -165.00 | 19.00 |              34.00 |
| Active (5% FOV)   | -67.16 | 58.46 | -204.00 | 17.00 |               6.00 |
| Active (10% FOV)  | -52.26 | 46.23 | -204.00 | 17.00 |               6.00 |
| Active (20% FOV)  | -27.23 | 43.14 | -154.00 | 19.00 |              18.00 |
| Active (40% FOV)  | -59.50 | 47.72 | -193.00 | 19.00 |              10.00 |
| Active (60% FOV)  | -57.57 | 47.30 | -175.00 | 17.00 |              12.00 |
| Active (80% FOV)  | -26.14 | 48.03 | -170.00 | 19.00 |              36.00 |
| Active (100% FOV) | -64.23 | 65.57 | -218.00 | 19.00 |              23.00 |

--- Summary Table: Level 3, Trained on Level 1 | Success Threshold >= 20 ---
| Configuration     |   Mean |    SD |     Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|--------:|------:|-------------------:|
| Baseline          | -63.76 | 48.37 | -138.00 | 19.00 |               0.00 |
| Active (1% FOV)   | -21.25 | 46.62 | -165.00 | 19.00 |               0.00 |
| Active (5% FOV)   | -67.16 | 58.46 | -204.00 | 17.00 |               0.00 |
| Active (10% FOV)  | -52.26 | 46.23 | -204.00 | 17.00 |               0.00 |
| Active (20% FOV)  | -27.23 | 43.14 | -154.00 | 19.00 |               0.00 |
| Active (40% FOV)  | -59.50 | 47.72 | -193.00 | 19.00 |               0.00 |
| Active (60% FOV)  | -57.57 | 47.30 | -175.00 | 17.00 |               0.00 |
| Active (80% FOV)  | -26.14 | 48.03 | -170.00 | 19.00 |               0.00 |
| Active (100% FOV) | -64.23 | 65.57 | -218.00 | 19.00 |               0.00 |

--- Summary Table: Level 3, Trained on Level 2 | Success Threshold >= -5 ---
| Configuration     |   Mean |    SD |    Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|-------:|------:|-------------------:|
| Baseline          |   4.45 | 18.14 | -32.00 | 19.00 |              77.00 |
| Active (1% FOV)   | -12.04 | 25.89 | -92.00 | 19.00 |              43.00 |
| Active (5% FOV)   |   2.67 | 19.27 | -49.00 | 19.00 |              74.00 |
| Active (10% FOV)  |   5.89 | 18.39 | -40.00 | 19.00 |              76.00 |
| Active (20% FOV)  |  -5.10 | 22.21 | -51.00 | 19.00 |              56.00 |
| Active (40% FOV)  |   5.31 | 17.02 | -49.00 | 19.00 |              81.00 |
| Active (60% FOV)  | -17.22 | 17.82 | -36.00 | 18.00 |              28.00 |
| Active (80% FOV)  |  10.11 | 14.94 | -50.00 | 19.00 |              87.00 |
| Active (100% FOV) |  -4.97 | 29.58 | -78.00 | 19.00 |              62.00 |

--- Summary Table: Level 3, Trained on Level 2 | Success Threshold >= 0 ---
| Configuration     |   Mean |    SD |    Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|-------:|------:|-------------------:|
| Baseline          |   4.45 | 18.14 | -32.00 | 19.00 |              77.00 |
| Active (1% FOV)   | -12.04 | 25.89 | -92.00 | 19.00 |              41.00 |
| Active (5% FOV)   |   2.67 | 19.27 | -49.00 | 19.00 |              70.00 |
| Active (10% FOV)  |   5.89 | 18.39 | -40.00 | 19.00 |              74.00 |
| Active (20% FOV)  |  -5.10 | 22.21 | -51.00 | 19.00 |              50.00 |
| Active (40% FOV)  |   5.31 | 17.02 | -49.00 | 19.00 |              80.00 |
| Active (60% FOV)  | -17.22 | 17.82 | -36.00 | 18.00 |              28.00 |
| Active (80% FOV)  |  10.11 | 14.94 | -50.00 | 19.00 |              87.00 |
| Active (100% FOV) |  -4.97 | 29.58 | -78.00 | 19.00 |              61.00 |

--- Summary Table: Level 3, Trained on Level 2 | Success Threshold >= 5 ---
| Configuration     |   Mean |    SD |    Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|-------:|------:|-------------------:|
| Baseline          |   4.45 | 18.14 | -32.00 | 19.00 |              72.00 |
| Active (1% FOV)   | -12.04 | 25.89 | -92.00 | 19.00 |              40.00 |
| Active (5% FOV)   |   2.67 | 19.27 | -49.00 | 19.00 |              70.00 |
| Active (10% FOV)  |   5.89 | 18.39 | -40.00 | 19.00 |              74.00 |
| Active (20% FOV)  |  -5.10 | 22.21 | -51.00 | 19.00 |              48.00 |
| Active (40% FOV)  |   5.31 | 17.02 | -49.00 | 19.00 |              77.00 |
| Active (60% FOV)  | -17.22 | 17.82 | -36.00 | 18.00 |              26.00 |
| Active (80% FOV)  |  10.11 | 14.94 | -50.00 | 19.00 |              85.00 |
| Active (100% FOV) |  -4.97 | 29.58 | -78.00 | 19.00 |              61.00 |

--- Summary Table: Level 3, Trained on Level 2 | Success Threshold >= 10 ---
| Configuration     |   Mean |    SD |    Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|-------:|------:|-------------------:|
| Baseline          |   4.45 | 18.14 | -32.00 | 19.00 |              64.00 |
| Active (1% FOV)   | -12.04 | 25.89 | -92.00 | 19.00 |              34.00 |
| Active (5% FOV)   |   2.67 | 19.27 | -49.00 | 19.00 |              58.00 |
| Active (10% FOV)  |   5.89 | 18.39 | -40.00 | 19.00 |              74.00 |
| Active (20% FOV)  |  -5.10 | 22.21 | -51.00 | 19.00 |              43.00 |
| Active (40% FOV)  |   5.31 | 17.02 | -49.00 | 19.00 |              66.00 |
| Active (60% FOV)  | -17.22 | 17.82 | -36.00 | 18.00 |              20.00 |
| Active (80% FOV)  |  10.11 | 14.94 | -50.00 | 19.00 |              82.00 |
| Active (100% FOV) |  -4.97 | 29.58 | -78.00 | 19.00 |              57.00 |

--- Summary Table: Level 3, Trained on Level 2 | Success Threshold >= 15 ---
| Configuration     |   Mean |    SD |    Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|-------:|------:|-------------------:|
| Baseline          |   4.45 | 18.14 | -32.00 | 19.00 |              47.00 |
| Active (1% FOV)   | -12.04 | 25.89 | -92.00 | 19.00 |              20.00 |
| Active (5% FOV)   |   2.67 | 19.27 | -49.00 | 19.00 |              41.00 |
| Active (10% FOV)  |   5.89 | 18.39 | -40.00 | 19.00 |              58.00 |
| Active (20% FOV)  |  -5.10 | 22.21 | -51.00 | 19.00 |              36.00 |
| Active (40% FOV)  |   5.31 | 17.02 | -49.00 | 19.00 |              37.00 |
| Active (60% FOV)  | -17.22 | 17.82 | -36.00 | 18.00 |               5.00 |
| Active (80% FOV)  |  10.11 | 14.94 | -50.00 | 19.00 |              63.00 |
| Active (100% FOV) |  -4.97 | 29.58 | -78.00 | 19.00 |              46.00 |

--- Summary Table: Level 3, Trained on Level 2 | Success Threshold >= 20 ---
| Configuration     |   Mean |    SD |    Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|-------:|------:|-------------------:|
| Baseline          |   4.45 | 18.14 | -32.00 | 19.00 |               0.00 |
| Active (1% FOV)   | -12.04 | 25.89 | -92.00 | 19.00 |               0.00 |
| Active (5% FOV)   |   2.67 | 19.27 | -49.00 | 19.00 |               0.00 |
| Active (10% FOV)  |   5.89 | 18.39 | -40.00 | 19.00 |               0.00 |
| Active (20% FOV)  |  -5.10 | 22.21 | -51.00 | 19.00 |               0.00 |
| Active (40% FOV)  |   5.31 | 17.02 | -49.00 | 19.00 |               0.00 |
| Active (60% FOV)  | -17.22 | 17.82 | -36.00 | 18.00 |               0.00 |
| Active (80% FOV)  |  10.11 | 14.94 | -50.00 | 19.00 |               0.00 |
| Active (100% FOV) |  -4.97 | 29.58 | -78.00 | 19.00 |               0.00 |
