=== LEVEL 1 ===


--- Summary Table: Level 1, Trained on Level 1 | Success Threshold >= -5 ---
| Configuration     |   Mean |   SD |   Min |   Max |   Success Rate (%) |
| Active (20% FOV)  |  10.98 | 16.75 | -34.00 | 19.00 |              88.00 |
| Active (40% FOV)  |  15.46 |  7.75 | -34.00 | 19.00 |              97.00 |
| Active (60% FOV)  |   8.80 | 18.81 | -34.00 | 19.00 |              84.00 |
| Active (80% FOV)  |  13.41 | 13.36 | -34.00 | 19.00 |              93.00 |
| Active (100% FOV) |  15.09 | 10.40 | -34.00 | 19.00 |              95.00 |

--- Summary Table: Level 2, Trained on Level 2 | Success Threshold >= 0 ---
| Configuration     |   Mean |    SD |    Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|-------:|------:|-------------------:|
| Baseline          |  14.99 |  8.88 | -34.00 | 19.00 |              97.00 |
| Active (1% FOV)   |   7.50 | 17.81 | -55.00 | 19.00 |              81.00 |
| Active (5% FOV)   |  10.59 | 14.60 | -34.00 | 19.00 |              90.00 |
| Active (10% FOV)  |  12.67 | 13.61 | -34.00 | 19.00 |              90.00 |
| Active (20% FOV)  |  10.98 | 16.75 | -34.00 | 19.00 |              88.00 |
| Active (40% FOV)  |  15.46 |  7.75 | -34.00 | 19.00 |              97.00 |
| Active (60% FOV)  |   8.80 | 18.81 | -34.00 | 19.00 |              84.00 |
| Active (80% FOV)  |  13.41 | 13.36 | -34.00 | 19.00 |              93.00 |
| Active (100% FOV) |  15.09 | 10.40 | -34.00 | 19.00 |              95.00 |

--- Summary Table: Level 2, Trained on Level 2 | Success Threshold >= 5 ---
| Configuration     |   Mean |    SD |    Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|-------:|------:|-------------------:|
| Baseline          |  14.99 |  8.88 | -34.00 | 19.00 |              96.00 |
| Active (1% FOV)   |   7.50 | 17.81 | -55.00 | 19.00 |              79.00 |
| Active (5% FOV)   |  10.59 | 14.60 | -34.00 | 19.00 |              90.00 |
| Active (10% FOV)  |  12.67 | 13.61 | -34.00 | 19.00 |              90.00 |
| Active (20% FOV)  |  10.98 | 16.75 | -34.00 | 19.00 |              88.00 |
| Active (40% FOV)  |  15.46 |  7.75 | -34.00 | 19.00 |              97.00 |
| Active (60% FOV)  |   8.80 | 18.81 | -34.00 | 19.00 |              84.00 |
| Active (80% FOV)  |  13.41 | 13.36 | -34.00 | 19.00 |              91.00 |
| Active (100% FOV) |  15.09 | 10.40 | -34.00 | 19.00 |              95.00 |

--- Summary Table: Level 2, Trained on Level 2 | Success Threshold >= 10 ---
| Configuration     |   Mean |    SD |    Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|-------:|------:|-------------------:|
| Baseline          |  14.99 |  8.88 | -34.00 | 19.00 |              96.00 |
| Active (1% FOV)   |   7.50 | 17.81 | -55.00 | 19.00 |              77.00 |
| Active (5% FOV)   |  10.59 | 14.60 | -34.00 | 19.00 |              77.00 |
| Active (10% FOV)  |  12.67 | 13.61 | -34.00 | 19.00 |              89.00 |
| Active (20% FOV)  |  10.98 | 16.75 | -34.00 | 19.00 |              88.00 |
| Active (40% FOV)  |  15.46 |  7.75 | -34.00 | 19.00 |              96.00 |
| Active (60% FOV)  |   8.80 | 18.81 | -34.00 | 19.00 |              84.00 |
| Active (80% FOV)  |  13.41 | 13.36 | -34.00 | 19.00 |              90.00 |
| Active (100% FOV) |  15.09 | 10.40 | -34.00 | 19.00 |              95.00 |

--- Summary Table: Level 2, Trained on Level 2 | Success Threshold >= 15 ---
| Configuration     |   Mean |    SD |    Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|-------:|------:|-------------------:|
| Baseline          |  14.99 |  8.88 | -34.00 | 19.00 |              92.00 |
| Active (1% FOV)   |   7.50 | 17.81 | -55.00 | 19.00 |              50.00 |
| Active (5% FOV)   |  10.59 | 14.60 | -34.00 | 19.00 |              67.00 |
| Active (10% FOV)  |  12.67 | 13.61 | -34.00 | 19.00 |              87.00 |
| Active (20% FOV)  |  10.98 | 16.75 | -34.00 | 19.00 |              82.00 |
| Active (40% FOV)  |  15.46 |  7.75 | -34.00 | 19.00 |              95.00 |
| Active (60% FOV)  |   8.80 | 18.81 | -34.00 | 19.00 |              83.00 |
| Active (80% FOV)  |  13.41 | 13.36 | -34.00 | 19.00 |              89.00 |
| Active (100% FOV) |  15.09 | 10.40 | -34.00 | 19.00 |              94.00 |

--- Summary Table: Level 2, Trained on Level 2 | Success Threshold >= 20 ---
| Configuration     |   Mean |    SD |    Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|-------:|------:|-------------------:|
| Baseline          |  14.99 |  8.88 | -34.00 | 19.00 |               0.00 |
| Active (1% FOV)   |   7.50 | 17.81 | -55.00 | 19.00 |               0.00 |
| Active (5% FOV)   |  10.59 | 14.60 | -34.00 | 19.00 |               0.00 |
| Active (10% FOV)  |  12.67 | 13.61 | -34.00 | 19.00 |               0.00 |
| Active (20% FOV)  |  10.98 | 16.75 | -34.00 | 19.00 |               0.00 |
| Active (40% FOV)  |  15.46 |  7.75 | -34.00 | 19.00 |               0.00 |
| Active (60% FOV)  |   8.80 | 18.81 | -34.00 | 19.00 |               0.00 |
| Active (80% FOV)  |  13.41 | 13.36 | -34.00 | 19.00 |               0.00 |
| Active (100% FOV) |  15.09 | 10.40 | -34.00 | 19.00 |               0.00 |
=================


=== GENERALISATION EVAL ===

--- Summary Table: Level 2, Trained on Level 1 | Success Threshold >= -5 ---
| Configuration     |   Mean |    SD |     Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|--------:|------:|-------------------:|
| Baseline          | -28.06 | 46.19 | -124.00 | 19.00 |              41.00 |
| Active (1% FOV)   |   0.23 | 19.71 |  -89.00 | 19.00 |              65.00 |
| Active (5% FOV)   |   2.16 | 20.04 |  -65.00 | 17.00 |              62.00 |
| Active (10% FOV)  |  -1.28 | 19.10 |  -57.00 | 17.00 |              49.00 |
| Active (20% FOV)  |   1.26 | 19.19 |  -61.00 | 19.00 |              64.00 |
| Active (40% FOV)  |  -9.54 | 31.36 | -120.00 | 19.00 |              50.00 |
| Active (60% FOV)  |  -6.51 | 22.46 |  -62.00 | 17.00 |              43.00 |
| Active (80% FOV)  |   5.81 | 15.87 |  -41.00 | 19.00 |              72.00 |
| Active (100% FOV) |   2.49 | 20.08 |  -58.00 | 19.00 |              71.00 |

--- Summary Table: Level 2, Trained on Level 1 | Success Threshold >= 0 ---
| Configuration     |   Mean |    SD |     Min |   Max |   Success Rate (%) |
|:------------------|-------:|------:|--------:|------:|-------------------:|
| Baseline          | -28.06 | 46.19 | -124.00 | 19.00 |              36.00 |
| Active (1% FOV)   |   0.23 | 19.71 |  -89.00 | 19.00 |              64.00 |
| Active (5% FOV)   |   2.16 | 20.04 |  -65.00 | 17.00 |              62.00 |
| Active (10% FOV)  |  -1.28 | 19.10 |  -57.00 | 17.00 |              49.00 |
