#{"t_start": 1772393500.9776165, "env_id": "None"}
r,l,t
-343.304162,250,3.889284
-343.053638,250,5.037808
-12.663099,70,5.369467
-0.911972,51,5.620865
-343.051275,250,6.727903
-341.30058,250,7.798914
-343.434104,250,8.777304
-48.614122,106,9.256023
-343.5893,250,10.474695
-342.286508,250,11.668942
-19.480801,79,15.193897
-344.512976,250,16.083893
-19.58393,80,16.383395
-343.6,250,17.304725
-343.117282,250,18.199001
-343.568983,250,19.154809
0.525543,48,19.355153
-343.477751,250,20.307228
-344.2,250,21.260391
-343.8,250,22.289914
-343.959669,250,23.814496
-344.75,250,24.932865
-2.016616,50,25.178555
9.859202,15,25.28037
-344.391698,250,26.456491
-344.719385,250,27.514534
-109.470308,150,28.125679
-345.05,250,29.337371
-342.272317,250,30.56533
-343.571601,250,31.954861
-16.381264,86,32.367362
-343.185776,250,33.8725
-345.405054,250,34.824525
-16.873844,73,35.085591
-342.635058,250,36.000915
-16.21559,73,36.310501
-280.213659,230,37.164425
-103.283828,146,37.676431
-112.91757,157,38.231901
-310.686354,242,39.083621
-345.55,250,40.005242
-66.726565,121,40.501806
-339.940599,250,43.69229
-5.765966,72,44.108362
-345.25,250,45.370869
-7.510678,61,45.727291
-345.2,250,46.791619
-344.388224,250,47.935469
4.985892,36,48.155555
-5.041254,57,48.423321
-343.216701,250,49.552892
-345.283591,250,50.758662
-341.314186,250,51.921801
-28.922207,89,52.433042
-342.682643,250,56.724045
-342.505463,250,57.860353
-46.031112,106,58.418534
-125.406615,159,59.263294
-15.963999,84,59.626573
-142.826125,168,60.465584
-233.06174,211,61.436822
-344.716812,250,62.714707
-343.453649,250,63.913267
-343.580349,250,65.367428
-29.915789,89,65.903749
-122.090345,157,69.944692
-345.2,250,71.032832
-343.227477,250,71.985229
-344.9,250,73.176936
-343.156022,250,74.34145
-343.290367,250,75.619981
-345.25,250,76.805212
-146.016857,170,77.563229
-341.323972,250,78.722902
-344.044866,250,82.9603
8.230831,27,83.123348
-195.361829,194,84.022375
-344.768762,250,85.210043
-345.15,250,86.580605
-345.35,250,87.709121
-343.714455,250,88.795421
-13.127255,69,89.06567
-10.044871,65,89.315757
-1.288363,51,89.535084
-236.057414,212,90.534568
-110.784939,150,91.335131
-345.45,250,92.955359
-342.672551,250,93.877563
-34.00023,95,94.31535
-1.232607,49,94.556943
-156.351214,180,95.425767
-340.116378,250,96.632783
-7.179534,62,96.894104
-10.704282,66,97.226053
-343.582094,250,98.28158
-25.361038,84,98.646715
-345.20859,250,100.094054
-243.168876,215,101.309715
-28.623164,88,101.761582
-343.638493,250,105.042591
-150.365545,173,106.006683
-342.577455,250,107.157937
-343.038073,250,108.597011
-341.04603,250,109.892737
-103.525471,146,110.605014
-12.248853,67,110.874044
-4.229527,57,111.220013
-14.683028,71,111.619181
-6.6804,74,112.062485
3.151591,41,112.326217
9.790578,15,112.433837
-343.184366,250,113.838195
19.861135,16,113.954709
-6.957751,62,114.30123
-343.933692,250,118.2211
-57.144949,114,118.709812
9.909513,15,118.788876
-67.109705,121,119.380553
-250.735857,220,120.36048
-76.713448,130,121.031445
-340.994149,250,122.258415
9.231896,22,122.369033
-151.431816,172,123.103789
-345.036475,250,124.10582
-140.109688,168,124.772504
-345.888676,250,125.982126
19.509322,18,126.116608
-9.750206,66,126.493847
0.993386,45,126.744127
-18.429893,75,127.170648
-4.720074,57,130.094258
8.831332,23,130.187412
20.107429,11,130.245288
0.106887,63,130.518779
-346.0,250,131.432127
-344.373895,250,132.420553
-7.579273,62,132.691271
6.630936,31,132.832789
-42.617268,101,133.292084
4.020769,59,133.544058
-345.178518,250,134.817307
-340.687922,250,135.836641
-346.092868,250,136.824114
-67.765999,121,137.324441
-345.885691,250,138.441768
-50.565542,108,141.907964
8.221224,23,142.04273
19.931463,12,142.139556
-343.68326,250,143.278842
8.301907,24,143.397145
-344.846131,250,144.706877
-18.924117,76,145.298439
-344.612375,250,146.467682
0.081595,48,146.687041
-55.895972,113,147.147414
19.738373,16,147.235073
-345.912192,250,148.219971
-346.0,250,149.22205
9.825305,15,149.305079
-345.084739,250,150.435292
-343.779629,250,153.713723
